# Athena++ data at time=7.031250e-01  cycle=91 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00211 0010  2.26562e+00  4.50595e-01  1.00329e+00  1.69896e-04  1.69896e-04  9.98360e-01  5.86971e-06  9.98360e-01 -2.76428e-03 -7.35460e-03 -3.80024e-04 -3.80024e-04  3.65912e-03 -1.31151e-05  3.65912e-03  1.38045e-03  4.81620e-05  4.81620e-05  1.65606e-06  6.72689e-01  2.25989e-04  7.75918e-06  7.75918e-06
00211 0011  2.42188e+00  4.72197e-01  1.00286e+00  1.38148e-04  1.38148e-04  9.98574e-01  4.46803e-06  9.98574e-01 -2.33493e-03 -6.19834e-03 -2.99424e-04 -2.99424e-04  3.08585e-03 -9.66593e-06  3.08585e-03  9.80577e-04  3.18333e-05  3.18333e-05 -4.38436e-06  6.88400e-01  1.59997e-04  5.17567e-06  5.17567e-06
00218 0004  2.65625e+00  5.02594e-01  1.00229e+00  2.02605e-04  2.02605e-04  9.98857e-01  1.19344e-05  9.98857e-01 -1.81655e-03 -4.76566e-03 -4.21293e-04 -4.21293e-04  2.37450e-03 -2.47938e-05  2.37450e-03  5.81517e-04  3.38655e-05  3.38655e-05 -1.44194e-06  7.09931e-01  9.47254e-05  5.49945e-06  5.49945e-06
00218 0005  2.96875e+00  5.37279e-01  1.00176e+00  1.38850e-04  1.38850e-04  9.99124e-01  7.31261e-06  9.99124e-01 -1.33533e-03 -3.50199e-03 -2.76839e-04 -2.76839e-04  1.74632e-03 -1.45747e-05  1.74632e-03  2.93818e-04  1.53359e-05  1.53359e-05 -1.08820e-06  7.33750e-01  4.81821e-05  2.52971e-06  2.52971e-06
00218 0006  3.28125e+00  5.67625e-01  1.00136e+00  9.72916e-05  9.72916e-05  9.99321e-01  4.63517e-06  9.99321e-01 -1.00036e-03 -2.62363e-03 -1.87619e-04 -1.87619e-04  1.30911e-03 -8.93781e-06  1.30911e-03  1.49871e-04  7.14679e-06  7.14679e-06  2.15413e-07  7.53995e-01  2.47000e-05  1.17818e-06  1.17818e-06
00218 0007  3.59375e+00  5.94359e-01  1.00107e+00  6.96363e-05  6.96363e-05  9.99467e-01  3.02842e-06  9.99467e-01 -7.63075e-04 -2.00192e-03 -1.30703e-04 -1.30703e-04  9.99342e-04 -5.68354e-06  9.99342e-04  7.39690e-05  3.22575e-06  3.22575e-06 -1.25514e-07  7.71405e-01  1.21179e-05  5.28705e-07  5.28705e-07
00218 0008  3.90625e+00  6.18062e-01  1.00085e+00  5.07896e-05  5.07896e-05  9.99578e-01  2.03198e-06  9.99578e-01 -5.91329e-04 -1.55160e-03 -9.32009e-05 -9.32009e-05  7.74810e-04 -3.72843e-06  7.74810e-04  3.41168e-05  1.31351e-06  1.31351e-06 -1.83361e-08  7.86533e-01  5.48250e-06  2.16057e-07  2.16057e-07
00218 0009  4.21875e+00  6.39208e-01  1.00068e+00  3.76753e-05  3.76753e-05  9.99661e-01  1.39637e-06  9.99661e-01 -4.66593e-04 -1.22205e-03 -6.77817e-05 -6.77817e-05  6.10397e-04 -2.51382e-06  6.10397e-04  1.21177e-05  4.37751e-07  4.37751e-07 -2.19435e-07  7.99797e-01  2.06439e-06  6.36526e-08  6.36526e-08
00218 0010  4.53125e+00  6.58179e-01  1.00055e+00  2.83958e-05  2.83958e-05  9.99725e-01  9.81015e-07  9.99725e-01 -3.72947e-04 -9.72022e-04 -5.03311e-05 -5.03311e-05  4.85608e-04 -1.73848e-06  4.85608e-04 -9.55590e-07  3.41243e-08  3.41243e-08  5.34855e-06  8.11520e-01 -1.22578e-07  1.55509e-08  1.55509e-08
00218 0011  4.84375e+00  6.75287e-01  1.00045e+00  2.16783e-05  2.16783e-05  9.99776e-01  7.02214e-07  9.99776e-01 -2.98301e-04 -7.83634e-04 -3.79625e-05 -3.79625e-05  3.91552e-04 -1.22467e-06  3.91552e-04 -6.33889e-06 -6.91247e-07 -6.91247e-07  2.90421e-06  8.21953e-01 -1.04535e-06 -5.11866e-08 -5.11866e-08
00225 0004  5.31250e+00  6.98618e-01  1.00033e+00  2.93853e-05  2.93853e-05  9.99834e-01  1.73070e-06  9.99834e-01 -2.19144e-04 -5.69766e-04 -5.03618e-05 -5.03618e-05  2.84738e-04 -2.96499e-06  2.84738e-04 -9.61683e-06 -6.35352e-07 -6.35352e-07  1.40026e-07  8.35979e-01 -1.67637e-06 -1.03866e-07 -1.03866e-07
00225 0005  5.93750e+00  7.24277e-01  1.00023e+00  1.84889e-05  1.84889e-05  9.99883e-01  9.74583e-07  9.99883e-01 -1.50081e-04 -3.93131e-04 -3.10755e-05 -3.10755e-05  1.96495e-04 -1.63768e-06  1.96495e-04 -9.29899e-06 -4.78233e-07 -4.78233e-07 -1.51956e-07  8.51146e-01 -1.55163e-06 -8.00124e-08 -8.00124e-08
00225 0006  6.56250e+00  7.45954e-01  1.00017e+00  1.21054e-05  1.21054e-05  9.99915e-01  5.76906e-07  9.99915e-01 -1.06587e-04 -2.79974e-04 -2.00261e-05 -2.00261e-05  1.39951e-04 -9.54289e-07  1.39951e-04 -7.65574e-06 -3.63296e-07 -3.63296e-07 -9.41983e-08  8.63760e-01 -1.29784e-06 -6.16425e-08 -6.16425e-08
00225 0007  7.18750e+00  7.64499e-01  1.00013e+00  8.18532e-06  8.18532e-06  9.99937e-01  3.56044e-07  9.99937e-01 -7.78084e-05 -2.04672e-04 -1.33653e-05 -1.33653e-05  1.02316e-04 -5.81339e-07  1.02316e-04 -6.18767e-06 -2.70173e-07 -2.70173e-07 -5.85537e-08  8.74411e-01 -1.05172e-06 -4.57509e-08 -4.57509e-08
00225 0008  7.81250e+00  7.80540e-01  1.00009e+00  5.68875e-06  5.68875e-06  9.99953e-01  2.27672e-07  9.99953e-01 -5.81911e-05 -1.52934e-04 -9.18762e-06 -9.18762e-06  7.64560e-05 -3.67735e-07  7.64560e-05 -4.99434e-06 -1.96559e-07 -1.96559e-07  2.49313e-07  8.83523e-01 -8.37100e-07 -3.34290e-08 -3.34290e-08
00225 0009  8.43750e+00  7.94548e-01  1.00007e+00  4.06311e-06  4.06311e-06  9.99964e-01  1.50278e-07  9.99964e-01 -4.27661e-05 -1.16199e-04 -6.50920e-06 -6.50920e-06  5.80930e-05 -2.40388e-07  5.80930e-05 -4.82108e-06 -1.29848e-07 -1.29848e-07 -8.96955e-07  8.91405e-01 -7.56194e-07 -2.26329e-08 -2.26329e-08
00225 0010  9.06250e+00  8.06882e-01  1.00005e+00  2.88249e-06  2.88249e-06  9.99973e-01  9.85046e-08  9.99973e-01 -2.73168e-05 -8.30609e-05 -4.47579e-06 -4.47579e-06  4.15271e-05 -1.52714e-07  4.15271e-05 -5.96220e-06 -9.51896e-08 -9.51896e-08 -6.49506e-06  8.98288e-01 -1.08722e-06 -1.56363e-08 -1.56363e-08
00225 0011  9.68750e+00  8.17829e-01  1.00002e+00  1.11103e-06  1.11103e-06  9.99989e-01  3.60342e-08  9.99989e-01 -1.32412e-05 -4.16032e-05 -2.17504e-06 -2.17504e-06  2.08009e-05 -7.04482e-08  2.08009e-05 -3.57441e-06 -3.52607e-08 -3.52607e-08 -7.29071e-06  9.04348e-01 -5.86079e-07 -4.69776e-09 -4.69776e-09
